timeframe,cluster2017,NumOccupiedHsgUnits,NumOccupiedHsgUnits_m,cluster2017_nf,start_date,end_date,PctSameHouse5YearsAgo,PctVacantHsgUnitsForRent,PctOwnerOccupiedHsgUnits,PctVacantHUForRent_m,PctOwnerOccupiedHU_m,mprice_sf,sales_sf,MedianMrtgInc1_4m_adj,NumMrtgOrigHomePurchPerUnit,PctSubprimeConvOrigHomePur,forecl_ssl_1Kpcl_sf_condo,forecl_ssl_sf_condo,trustee_ssl_1Kpcl_sf_condo,trustee_ssl_sf_condo,PctAnnChgRMPriceSf_1yr,PctAnnChgRMPriceSf_5yr,PctAnnChgRMPriceSf_10yr,indc
1998,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-98,31-Dec-98,X,X,X,X,X,93970,137,54299,29,0.1,20,79,7.8,31,.,.,.,1
1999,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-99,31-Dec-99,X,X,X,X,X,99000,139,59071,27,0.1,17,67,7.5,30,.,.,.,1
2000,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-00,31-Dec-00,X,X,X,X,X,105000,101,62060,27,0.1,21,84,7,28,.,.,.,1
2001,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-01,31-Dec-01,X,X,X,X,X,115000,97,70232,34,0.1,18,72,7.8,31,.,.,.,1
2002,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-02,31-Dec-02,X,X,X,X,X,135000,105,75620,40,0.2,19,77,6.3,25,.,.,.,1
2003,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-03,31-Dec-03,X,X,X,X,X,161000,93,83773,47,0.3,19,76,0.5,2,.,.,.,1
2004,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-04,31-Dec-04,X,X,X,X,X,181750,130,84512,50,0.2,16,62,1,4,.,.,.,1
2005,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-05,31-Dec-05,X,X,X,X,X,249950,125,84512,50,0.2,10,40,0.7,3,.,.,.,1
2006,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-06,31-Dec-06,X,X,X,X,X,288000,99,84512,50,0.2,10,41,0.2,1,.,.,.,1
2007,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-07,31-Dec-07,X,X,X,X,X,285000,79,84512,50,0.2,13,56,2.2,9,.,.,.,1
