timeframe,cluster2017,cluster2017_nf,start_date,end_date,PctPoorPersons,PctPoorChildren,PctPoorElderly,AvgFamilyIncAdj,PctPoorPersons_m,PctPoorChildren_m,PctPoorElderly_m,AvgFamilyIncAdj_m,PctChgAvgFamilyIncAdj,Tanf_client,Fs_client
2000,"Eastland Gardens, Kenilworth",Cluster 29,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-34,X,X
2000,"Mayfair, Hillbrook, Mahaning Heights",Cluster 30,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-13,X,X
2000,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",Cluster 31,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,0.6,X,X
2000,"River Terrace, Benning, Greenway, Dupont Park",Cluster 32,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-11,X,X
2000,"Capitol View, Marshall Heights, Benning Heights",Cluster 33,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-6.2,X,X
2000,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",Cluster 34,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,3.2,X,X
2000,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",Cluster 35,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-11,X,X
2000,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",Cluster 36,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-9.3,X,X
2000,"Sheridan, Barry Farm, Buena Vista",Cluster 37,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-24,X,X
2000,"Douglas, Shipley Terrace",Cluster 38,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-13,X,X
2000,"Congress Heights, Bellevue, Washington Highlands",Cluster 39,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,2.7,X,X
2000,Walter Reed,Cluster 40,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,12,X,X
2000,Rock Creek Park,Cluster 41,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,0.3,X,X
2000,Saint Elizabeths,Cluster 43,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,-3.9,X,X
2000,Joint Base Anacostia-Bolling,Cluster 44,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,13,X,X
2000,"Arboretum, Anacostia River",Cluster 46,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,.,X,X
2000,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-00,31-Dec-00,X,X,X,X,X,X,X,X,X,247,546
2001,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-01,31-Dec-01,X,X,X,X,X,X,X,X,X,241,526
2002,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-02,31-Dec-02,X,X,X,X,X,X,X,X,X,233,536
2003,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-03,31-Dec-03,X,X,X,X,X,X,X,X,X,212,550
2004,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-04,31-Dec-04,X,X,X,X,X,X,X,X,X,178,565
2005,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-05,31-Dec-05,X,X,X,X,X,X,X,X,X,155,533
2006,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-06,31-Dec-06,X,X,X,X,X,X,X,X,X,128,526
2007,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-07,31-Dec-07,X,X,X,X,X,X,X,X,X,121,516
2008,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-08,31-Dec-08,X,X,X,X,X,X,X,X,X,118,464
2009,"Kalorama Heights, Adams Morgan, Lanier Heights",Cluster 1,1-Jan-09,31-Dec-09,X,X,X,X,X,X,X,X,X,137,562
