timeframe,cluster2017,TotPop,TotPop_m,cluster2017_nf,start_date,end_date,PctPopUnder18Years,PctPop65andOverYears,PctForeignBorn,PctBlackNonHispBridge,PctWhiteNonHispBridge,PctHisp,PctAsianPINonHispBridge,PctFamiliesOwnChildrenFH,PctPopUnder18Years_m,PctPop65andOverYears_m,PctForeignBorn_m,PctBlackNonHispBridge_m,PctWhiteNonHispBridge_m,PctHisp_m,PctAPINonHispBridge_m,PctFamiliesOwnChildFH_m,PctChgTotPop,PctChgPopUnder18Years,PctChgPop65andOverYear,indc
2010,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",X,.,Cluster 31,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0.7,-1.2,-15,1
2010,"River Terrace, Benning, Greenway, Dupont Park",X,.,Cluster 32,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.3,-3.3,-11,1
2010,"Capitol View, Marshall Heights, Benning Heights",X,.,Cluster 33,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.2,-12,-5.3,1
2010,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",X,.,Cluster 34,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-2.9,-13,11,1
2010,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",X,.,Cluster 35,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-5.3,-22,15,1
2010,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",X,.,Cluster 36,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,19,-1.6,50,1
2010,"Sheridan, Barry Farm, Buena Vista",X,.,Cluster 37,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-5.8,-20,-2.1,1
2010,"Douglas, Shipley Terrace",X,.,Cluster 38,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.6,-12,5.6,1
2010,"Congress Heights, Bellevue, Washington Highlands",X,.,Cluster 39,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,3.5,-12,29,1
2010,Walter Reed,X,.,Cluster 40,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-42,.,.,1
2010,Rock Creek Park,X,.,Cluster 41,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,206,194,178,1
2010,Saint Elizabeths,X,.,Cluster 43,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-27,-71,50,1
2010,Joint Base Anacostia-Bolling,X,.,Cluster 44,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,-26,-44,58,1
2010,"Arboretum, Anacostia River",X,.,Cluster 46,1-Jan-00,31-Dec-10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,.,.,.,1
2000,"Kalorama Heights, Adams Morgan, Lanier Heights",X,.,Cluster 1,1-Jan-90,31-Dec-00,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,2,-15,-17,1
